market_type,security_code,listed_company_name,source_urls,business_summary,moat_summary,technology_barrier_summary,cash_flow_quality_summary,margin_quality_summary,market_position_summary,risks,score_0_100,score_reason,evidence_retrieved_at_utc
A_SHARE,600519,贵州茅台酒股份有限公司,https://www.moutaichina.com/mtgf/articleFileDir/2026-04/17/1d565b73e05549c4ad4392314e62112c.pdf;https://www.moutaichina.com/mtgf/2025-10/18/article_2025101811085247943.html,Premium baijiu producer focused on Kweichow Moutai and series liquors,Official annual report plus company article support durable brand and channel moat built over decades,Origin linked sauce aroma process and quality control create production know how barrier rather than software technology,Large scale premium consumer business supports strong cash generation,Premium baijiu model supports very high profitability versus most industrial sectors,Company article cites 2024 listed company health ranking first and recognised brand and channel moat,Baijiu demand pressure and governance changes and policy consumption sensitivity,90,90 based on unusually strong brand and channel moat high margin cash generation and resilient category leadership with demand and policy risks,2026-05-14T09:28:23Z
A_SHARE,300750,宁德时代,https://www.catl.com/en/news/6773.html,Power battery and energy storage battery producer expanding into zero carbon energy systems,Global share leadership in power batteries and energy storage supports scale moat and customer ecosystem,RMB 22.1b R&D spend in 2025 patents and new chemistry launches support strong technology barrier,Company disclosed RMB 133.2b operating cash flow in 2025,High profit scale is strong but battery price competition and materials cycles keep margin risk,CATL disclosed 39.2 percent global power battery share and first place for nine consecutive years,EV battery price competition customer concentration geopolitical and supply chain risk,88,88 based on global battery leadership high R&D intensity patent base operating cash flow and manufacturing scale with competition and cycle risks,2026-05-14T09:28:23Z
A_SHARE,000333,美的集团,https://www.midea.com.cn/en/Investors?wcmmode=disabled;https://www.midea.com/global/about-midea,Global home appliance and smart building technology group with consumer and industrial businesses,Multi brand appliance scale global channels manufacturing depth and service network support durable business barrier,Official materials cite 38 global R&D centers and use of IoT AI and big data in product systems,Large mature appliance platform supports recurring free cash flow though hardware cycles matter,Official investor page cites 2025 record revenue and net profit but margins remain hardware exposed,Large global appliance scale and Fortune 500 status support market position,Housing cycle raw materials channel competition and hardware margin pressure,83,83 based on global appliance scale brand channel R&D footprint and record 2025 performance with cyclical hardware margin risks,2026-05-14T10:00:00Z
A_SHARE,002594,比亚迪,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,Vertically integrated NEV battery electronics and rail transit group,Vertical integration across vehicles batteries electronics and manufacturing gives cost and product cycle advantages,CNINFO snapshot cites core strengths in electronic information AI 5G IoT thermal management materials molds and digital manufacturing,Large manufacturing scale supports operating leverage but autos remain capital intensive,Margins are more cyclical than software or premium spirits due auto price competition,CNINFO snapshot states leading position in the global NEV industry,Auto price war execution overseas tariff and capital intensity,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,2026-05-14T09:28:23Z
A_SHARE,002050,三花智控,https://www.zjshc.com/en/investor/hkstock.html,Thermal management and control component supplier for HVAC appliances and vehicles,Scale in refrigeration air conditioning and EV thermal components supports component platform moat,Precision control components and thermal management engineering create process and design barriers,Manufacturing scale and global customer base support cash generation but component cycles matter,Margins are healthier than commodity components but exposed to customer pricing,Investor page and reports present Sanhua as a global thermal management control supplier,Customer concentration auto cycle tariff and price pressure,76,76 based on global thermal management niche scale precision component know how and EV exposure with customer and cycle risks,2026-05-14T10:00:00Z
A_SHARE,002415,海康威视,https://www.hikvision.com/content/dam/hikvision/en/marketing/image/latest-news/20260427/2025-hikvision-annual-report_en.pdf,Video IoT and security equipment company expanding AIoT applications,Installed base channels and product ecosystem support switching costs in enterprise and public sector video systems,Annual report supports strong R&D governance and AIoT technology investment,Cash generation remains solid for a mature hardware software system provider,Profitability improved in 2025 but hardware and project mix keep margin risk,Search and annual report materials support global leadership in video and AIoT markets,Geopolitical sanctions public sector demand privacy regulation and overseas restrictions,79,79 based on large installed base AIoT technology platform and mature profitability offset by geopolitical and regulatory risks,2026-05-14T10:00:00Z
A_SHARE,300760,迈瑞医疗,https://www.mindray.com/en/about-us;https://www.mindray.com/content/dam/xpace/en/investor-relations/2025/mindray-2025-esg-report-en.pdf,Medical device company covering patient monitoring life support in vitro diagnostics and medical imaging,Hospital installed base clinical workflows and brand trust support switching costs and channel moat,Official materials emphasize innovation and quality systems with ISO and medical device audits,Routine consumables service and installed equipment base support cash quality,Medical device margins are structurally stronger than commodity hardware though procurement pressure matters,Company describes broad core competencies and global healthcare accessibility mission,Volume based procurement hospital capex cycles regulation and overseas competition,81,81 based on hospital installed base quality systems product breadth and R&D culture with procurement and regulatory risks,2026-05-14T10:00:00Z
A_SHARE,300274,阳光电源,https://www.sungrowpower.com/en/About-Us/investor,Solar inverter and energy storage system supplier,Global inverter and energy storage scale plus bankability support customer trust and channel moat,Power electronics engineering grid connection know how and storage integration support technology barrier,Fast growing clean energy demand supports cash generation but working capital can be volatile,Margins are exposed to solar and storage price competition,Official investor page provides financial report access and company disclosure base,Renewables price war overseas policy changes and inventory cycles,75,75 based on power electronics capability global renewables scale and storage exposure with industry price cycle risks,2026-05-14T10:00:00Z
A_SHARE,600690,海尔智家股份有限公司,https://www.haier.com/global/press-events/news/20260402_288863.shtml,Global smart home appliance group with multi brand and localized operations,Global brand portfolio service network and localized manufacturing support durable consumer appliance barrier,AI and digital capabilities in global operating model support process and product technology moat,Mature appliance business supports cash generation though replacement cycles matter,Official 2025 results release says revenue exceeded RMB 300b and net profit reached record high,Global smart home leadership and premium brand positions support market position,Housing cycle raw materials tariffs and appliance competition,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,2026-05-14T10:00:00Z
A_SHARE,600887,内蒙古伊利实业集团股份有限公司,https://www.yili.com/en/investors,Dairy and nutrition company with liquid milk milk powder yogurt and cold drink businesses,Brand distribution cold chain and scale procurement create durable consumer staples barrier,Food safety quality systems and product innovation support process barrier more than hard technology,Mature branded staples platform supports cash generation,Margins are moderate but supported by brand mix and scale,Yili investor page provides 2025 annual and quarterly result materials and long report archive,Raw milk cycle category competition channel costs and food safety risk,78,78 based on dairy brand distribution scale and category leadership with moderate margins and commodity input risks,2026-05-14T10:00:00Z
A_SHARE,600900,中国长江电力股份有限公司,https://www.rns-pdf.londonstockexchange.com/rns/5852C_1-2026-4-30.pdf,Large hydropower operator with major Yangtze River basin assets,Scarce hydropower assets long concession life and dispatch role create structural moat,Operational engineering and dam management capability create high reliability barrier,Regulated hydropower cash flows are high quality and relatively predictable,Hydropower has high operating margin after capital base is built but water flow affects results,Annual report source supports scale of hydropower business and public utility profile,Hydrology regulatory tariff capital allocation and safety risk,82,82 based on scarce hydropower assets regulated infrastructure cash flow and high replacement barriers with hydrology and tariff risks,2026-05-14T10:00:00Z
HONG_KONG,00700,TENCENT,https://www.tencent.com/en-us/investors/financial-reports.html;https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf,Internet platform with games social messaging payments cloud advertising and digital content,Weixin ecosystem games and payments create network effects and multi sided traffic advantages,AI powered marketing cloud games and infrastructure investment support platform technology barrier,Large recurring digital services and gross profit expansion support cash generation,Official annual report shows 56 percent group gross margin in 2025,Scale across VAS marketing fintech and business services creates strong market position,Regulation game approvals AI capex and China internet competition,86,86 based on platform network effects high gross margin recurring services and AI enabled product depth with regulation and competition risks,2026-05-14T09:28:23Z
HONG_KONG,00388,HKEX,https://www.hkexgroup.com/Investor-Relations/Financial-Results-and-Presentations/2025?sc_lang=en;https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0226/2026022600166.pdf;https://www.hkexgroup.com/-/media/HKEX-Group-Site/Ir/Analyst-Presentation/2025-Q4-Results-Presentation-%2816x9%29_v32-%28vF%29.pdf,Exchange and clearing group for Hong Kong cash derivatives commodities and listing markets,Only Hong Kong securities and derivatives exchange and sole operator of clearing houses creates structural moat,Market infrastructure clearing risk controls connectivity and regulatory trust are operational barriers,Exchange fees clearing fees and data revenue are asset light and cash generative,Natural monopoly exchange model supports strong margins while market volumes create cyclicality,HKEX says it regained world leading IPO venue status in 2025 and set new trading records,Turnover IPO cycle regulation geopolitics and mainland market sentiment,84,84 based on regulated exchange monopoly clearing infrastructure network effects and IPO leadership with capital market cycle risk,2026-05-14T09:28:23Z
HONG_KONG,00669,TECHTRONIC IND,https://www.ttigroup.com/documents/annual-report-2025/;https://www.ttigroup.com/sites/default/files/2026-03/ar2025.pdf,Power tools outdoor power equipment and floorcare group,Milwaukee and Ryobi brands plus professional dealer and retail channels create brand and channel moat,Annual report emphasizes technology driven solutions and product innovation with IP ownership,Cash quality is supported by branded global tool platform though working capital and tariffs matter,Branded tools can earn solid margins but tariffs and promotions affected 2025 sales growth,Official annual report supports global power tool platform and strategic investment cycle,Tariffs housing repair cycle channel concentration and product execution risk,78,78 based on strong tool brands global channels and product innovation with tariff and housing cycle risks,2026-05-14T10:00:00Z
HONG_KONG,00941,CHINA MOBILE,https://www.chinamobileltd.com/;https://www.chinamobileltd.com/en/download/index.php,Telecommunications operator with mobile broadband cloud and digital services,Very large customer base spectrum network coverage and infrastructure scale create durable barriers,5G network cloud and digital infrastructure investment support technology barrier,Subscription and service revenue base supports high cash generation,Telecom margins are stable but regulated capex heavy,Company homepage disclosed over 1 billion mobile customers and large 5G customer base in third quarter 2025,Regulation capex intensity ARPU pressure and geopolitical restrictions,82,82 based on unmatched subscriber scale spectrum network assets and recurring service revenue with regulation and capex risks,2026-05-14T10:00:00Z
HONG_KONG,01299,AIA,https://www.aia.com/en/investor-relations/overview/results-presentations;https://www.aia.com/en/media-centre/annual-reports,Pan Asian life and health insurance group,Agency distribution brand trust and regional insurance licenses create durable barrier,Underwriting analytics product design and digital distribution support operational technology barrier,Insurance free surplus generation supports cash quality but depends on investment markets,Protection and savings products can generate attractive margins but rates and markets matter,AIA official pages show 2025 annual report and record results materials,Interest rates market volatility regulation and agency productivity risk,80,80 based on pan Asian distribution scale brand trust free surplus generation and product breadth with market and regulatory risks,2026-05-14T10:00:00Z
HONG_KONG,01810,XIAOMI-W,https://ir.mi.com/financial-information/annual-interim-reports/,Consumer electronics IoT and EV ecosystem company,Smartphone scale connected device ecosystem and user base create moderate ecosystem moat,Operating system IoT integration and EV engineering investment support technology barrier,Hardware cash quality is weaker than software but ecosystem services improve resilience,Margins are constrained by hardware mix and EV ramp cost,Official IR page provides annual and interim report archive supporting disclosure base,Smartphone competition EV execution inventory cycle and geopolitical supply chain risk,75,75 based on global smartphone and IoT ecosystem scale plus EV optionality offset by hardware margin and execution risks,2026-05-14T10:00:00Z
HONG_KONG,02020,ANTA SPORTS,https://ir.anta.com/en/index.php/index.php;https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0409/2026040900840.pdf,Sportswear group operating ANTA FILA DESCENTE KOLON and related brands,Multi brand portfolio direct retail execution and sports marketing create consumer brand moat,Product design supply chain and retail data capability support operational barrier,Branded sportswear platform supports strong cash generation,Official IR page cites 2025 gross margin 62.0 percent and operating margin 23.8 percent,Official IR page cites 2025 revenue over RMB 80.2b and multi brand strategy,Fashion cycle inventory management brand execution and consumer slowdown,79,79 based on multi brand sportswear portfolio high margin profile and retail execution with fashion and inventory risks,2026-05-14T10:00:00Z
HONG_KONG,01211,BYD COMPANY,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,Vertically integrated NEV battery electronics and rail transit group,Vertical integration across vehicles batteries electronics and manufacturing gives cost and product cycle advantages,CNINFO snapshot cites core strengths in electronic information AI 5G IoT thermal management materials molds and digital manufacturing,Large manufacturing scale supports operating leverage but autos remain capital intensive,Margins are more cyclical than software or premium spirits due auto price competition,CNINFO snapshot states leading position in the global NEV industry,Auto price war execution overseas tariff and capital intensity,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,2026-05-14T09:28:23Z
HONG_KONG,03690,MEITUAN-W,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400179.pdf,Local services platform covering food delivery in store hotel travel and new initiatives,Merchant user rider and logistics density create local network effects and operational scale,Delivery dispatch algorithms user data and local service infrastructure support execution barrier,Annual report shows large revenue base but 2025 loss reduces cash flow quality score,Gross profit remains large but profit volatility and subsidy competition pressure margin quality,Annual report shows RMB 364.9b revenue in 2025 and broad China local services platform scale,Intense local services competition subsidies regulation and labor cost risk,72,72 based on strong local services network effects data scale and logistics density offset by weaker 2025 profitability margin volatility and competition,2026-05-14T09:28:23Z
HONG_KONG,03888,KINGSOFT,https://ir.kingsoft.com/financials/annual-reports/;https://ir.kingsoft.com/static-files/999c2fb6-9739-4c00-a3d7-ec00dc5430b6,Software and internet group with office software games and cloud interests,WPS office installed base paid subscribers and game IP create user and content moat,Office productivity software AI features and game development capability create technology barrier,Subscriptions and software license economics support cash quality though games are hit driven,Software mix can support attractive margins but games and cloud investments add volatility,2025 annual report shows WPS monthly active devices and paying subscribers scale,Office competition game pipeline execution and cloud profitability risk,77,77 based on WPS office scale subscription potential and software economics with game and cloud volatility risks,2026-05-14T10:00:00Z
HONG_KONG,06690,HAIER SMARTHOME,https://www.haier.com/global/press-events/news/20260402_288863.shtml,Global smart home appliance group with multi brand and localized operations,Global brand portfolio service network and localized manufacturing support durable consumer appliance barrier,AI and digital capabilities in global operating model support process and product technology moat,Mature appliance business supports cash generation though replacement cycles matter,Official 2025 results release says revenue exceeded RMB 300b and net profit reached record high,Global smart home leadership and premium brand positions support market position,Housing cycle raw materials tariffs and appliance competition,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,2026-05-14T10:00:00Z
HONG_KONG,09618,JD-SW,https://ir.jd.com/zh-hant/;https://ir.jd.com/,E commerce and supply chain infrastructure company,Self operated retail trust logistics network and fulfillment infrastructure create service barrier,Data driven assortment inventory and logistics systems support technology barrier,Retail cash generation is meaningful but new initiatives and logistics capex reduce quality,Margins are lower than platform internet peers due first party retail model,Official IR page provides 2025 annual report and filing access,Low margin retail competition subsidy wars food delivery expansion and regulation,74,74 based on logistics infrastructure supply chain systems and retail trust offset by low margins and heavy competition,2026-05-14T10:00:00Z
HONG_KONG,09633,NONGFU SPRING,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0417/2026041701389.pdf,Packaged drinking water and beverage company,Water source access brand trust and dense distribution create durable consumer moat,Product development quality management and supply chain operations support process barrier,Branded beverage scale supports strong cash generation,Annual report and financial data support high gross profit scale in packaged beverages,Company annual report supports broad branded beverage and water platform,Product concentration channel changes public controversy input costs and competition,80,80 based on water source access brand distribution and high gross profit beverage economics with concentration and reputation risks,2026-05-14T10:00:00Z
HONG_KONG,09888,BIDU-SW,https://ir.baidu.com/financial-reports/,Search AI cloud and autonomous driving technology company,Search traffic data and AI platform assets create technology led moat but advertising is mature,Foundation models search ranking cloud AI and autonomous driving systems support technology barrier,2025 cash flow quality appears pressured by AI investment and impairment related issues,Margins are under pressure during AI transition,Official IR financial reports page provides Q4 2025 and annual filing access,AI capex advertising weakness competition and regulatory risk,72,72 based on search data AI technology assets and cloud platform offset by weak advertising growth margin pressure and transition risk,2026-05-14T10:00:00Z
HONG_KONG,09961,TRIP.COM-S,https://investors.trip.com/,Online travel agency and travel services platform,Hotel airline supplier network user traffic and brand trust create two sided marketplace moat,Search recommendation packaging and supplier connectivity systems support technology barrier,Travel platform economics can convert well when demand is healthy,Margins depend on travel cycle marketing intensity and overseas expansion,Official IR page states company is a leading one stop travel service provider and filed 2025 20-F,Cyclic travel demand macro shocks overseas competition and platform regulation,76,76 based on supplier network brand and one stop travel platform economics with cyclical travel demand risk,2026-05-14T10:00:00Z
HONG_KONG,09988,BABA-W,https://home.alibabagroup.com/ir-financial-reports-financial-results;https://www.alibabagroup.com/document-1871721596658384896,Commerce cloud logistics and digital services platform group,Marketplace network effects merchant tools cloud ecosystem and logistics affiliates create broad platform moat,Cloud infrastructure AI commerce search and data systems support technology barrier,Core commerce and cloud can generate strong cash though investments are cyclical,Margins have compressed versus historical peaks due competition and reinvestment,Official annual report and IR pages support scale of fiscal 2025 businesses,Platform regulation ecommerce competition cloud price war and VIE geopolitical risk,80,80 based on commerce network effects cloud and merchant ecosystem breadth offset by competition regulation and reinvestment pressure,2026-05-14T10:00:00Z
HONG_KONG,09999,NTES-S,https://ir.netease.com/financial-information/annual-reports;https://www.hkexnews.hk/listedco/listconews/sehk/2026/0415/2026041501230.pdf,Online games music education and internet services company,Long lived game IP development culture and loyal player communities create content moat,Game engine live operations AI assisted content and R&D processes support technology barrier,Games can generate strong cash but pipeline timing creates volatility,Digital content mix supports high margins relative to physical businesses,Official annual report page and HKEX filing provide 2025 annual report evidence,Game approval policy hit driven pipeline overseas execution and competition,78,78 based on durable game IP development capability and digital economics with hit driven and regulatory risks,2026-05-14T10:00:00Z
