peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,analyst_response,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
有色金属-锂资源与锂盐,000792,盐湖股份,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Salt Lake.,Accepted. Salt Lake is retained as the domestic salt-lake potassium and lithium anchor. Its moat comes from Qarhan salt-lake resource access; high margins; brine and mining-right constraints; and a role not covered by hard-rock lithium peers.,Domestic salt-lake lithium and potassium platforms can qualify without global monopoly when resource access is scarce; margins are structurally supported; and the advantage is not mainly lithium-price beta.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002466,天齐锂业,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Tianqi Lithium.,Accepted. Tianqi is retained for Greenbushes-backed hard-rock lithium resource quality and lithium-chemical capability. Lithium cyclicality is a monitoring risk not a reason to exclude it.,World-class hard-rock lithium resource exposure should be retained even when current profit is cyclical or temporarily weak.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002460,赣锋锂业,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Ganfeng Lithium.,Accepted. Ganfeng is retained for its global lithium-resource portfolio; lithium-chemical process platform; and differentiated integration model. It is not a weaker copy of Tianqi because its advantage is broader resource and processing optionality rather than one single best mine.,Retain multiple lithium leaders when the resource forms; geography; processing capability; and customer or project optionality are meaningfully different.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002738,中矿资源,watch,watch,direct_watch,reviewer_explicit,Reviewer explicitly retains Sinomine Resource.,Accepted. Sinomine is retained because Bikita; Tanco; cesium; rubidium; and geological exploration capability create a scarce-resource angle not covered by Tianqi; Ganfeng; or Salt Lake.,Rare-light-metal and lithium resource platforms can be retained when company-level resource ownership and exploration or reserve-expansion capability are source-backed.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,000155,川能动力,boundary_watch,reject_for_now,,analyst_inferred_from_reviewer_standard,Boundary companies should be screened by company-level resource position; margin source; resource or permit capacity constraint; cost competitiveness; reserve advantage; and whether a stronger retained peer already covers the thesis.,Rejected for now. LiJiaGou is a real domestic hard-rock lithium asset and the 2025 report shows production ramp. But the listed company is still a mixed power and lithium platform with indirect lithium-resource exposure; the evidence does not yet prove a company-level resource position or cost curve strong enough to add a separate watch slot beside Tianqi; Ganfeng; Sinomine; and Rongjie.,Domestic hard-rock lithium capacity alone is not enough. A mixed platform needs clear effective resource exposure; proven low-cost position; reserve advantage; and sustained production before watchlist inclusion.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,000408,藏格矿业,boundary_watch,watch,boundary_judged_watch,analyst_revised_after_reviewer_challenge,Boundary salt-lake companies must also be checked for cross-industry scarce-resource assets and listed-company economics. Zangge should not be judged only as a smaller salt-lake lithium peer because its company thesis includes Qarhan potash and lithium rights; a material Julong Copper equity stake; and Zijin control or operating integration.,Revised to watch after reviewer challenge. In a lithium-only comparison Zangge is weaker than Salt Lake; however at listed-company level it combines potash cash flow; salt-lake lithium optionality; a material Julong Copper stake whose 2025 investment income dominated profit; and Zijin's new controlling-shareholder role. This cross-resource package is hard to replicate and deserves observation while risks from copper price beta; equity-method earnings; and less direct operating control than Zijin must be tracked.,A company rejected inside a narrow peer group must be rechecked for cross-industry scarce-resource assets or controlling-shareholder capability. Retain it if the aggregate listed-company thesis is material; hard to replicate; and not merely a weaker copy of a retained single-industry peer.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002192,融捷股份,boundary_watch,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,Boundary domestic hard-rock lithium companies should pass the resource-plus-execution test rather than be rejected solely for smaller scale.,Retained with lower conviction. Rongjie owns the Kangding Jiajika No.134 spodumene mining right; has formed 1.05 million tonnes per year open-pit mining capacity and 450 thousand tonnes per year ore-processing capacity; and the local financial data show strong 2025 margins. It is not a global anchor but gives the watchlist a distinct domestic in-production hard-rock lithium asset.,A domestic hard-rock lithium company can qualify when the mine is already in production; margins support resource economics; capacity is constrained by mining rights or processing expansion; and the role is not merely lithium-salt conversion capacity.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002240,盛新锂能,reject_for_now,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid under the stricter lithium-resource standard.,Rejected for now. Shengxin has lithium-salt production and overseas resource projects but the evidence does not show a resource; cost; margin; or reserve advantage strong enough versus Tianqi; Ganfeng; Sinomine; Salt Lake; or Rongjie.,Lithium-salt capacity and overseas expansion plans do not qualify without source-backed cost curve and resource-control evidence.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002497,雅化集团,reject_for_now_or_reclassify_to_civil_explosives,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid for the lithium-resource group; the company may be reclassified to civil explosives or engineering-blasting review later.,Rejected from lithium-resource watch. Yahua has lithium product volume and Zimbabwe export-quota evidence; but its lithium resource thesis is weaker than retained lithium-resource peers. Its civil-explosives business should be judged separately.,Do not let mixed business quality or lithium-product volume substitute for lithium-resource moat evidence.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002756,永兴材料,reject_for_now,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid under the stricter lithium-mica standard.,Rejected for now. Yongxing has lithium-mica processing and low leverage; but the current evidence does not prove a cost curve or reserve advantage strong enough versus salt-lake and high-quality hard-rock lithium assets.,Lithium-mica companies need stronger cost; grade; environmental-processing; and margin evidence before watchlist inclusion.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,002176,江特电机,reject_for_now,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid under the capability-first standard.,Rejected for now. The reason is not current losses alone. The current evidence does not show enough low-cost lithium-mica resource quality; process economics; or customer-validated lithium-salt capability to offset weak lithium-business margins.,A loss-making resource company can qualify only when the loss is cycle timing and source-backed cost or resource advantage is still strong. Weak cost evidence remains a rejection reason.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,000762,西藏矿业,reject_for_now,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid because resource scarcity has not yet become proven company-level execution advantage.,Rejected for now. Zabuye is a scarce salt-lake resource; but stable low-cost output; production ramp; and company-level execution remain insufficiently proven versus retained lithium-resource anchors.,Scarce resource ownership alone is not enough. Salt-lake projects need production; cost; and margin evidence before watchlist inclusion.,true,2026-05-15T00:00:00+00:00
有色金属-锂资源与锂盐,600499,科达制造,reject_from_lithium_resource_group_or_reclassify,reject_for_now,,analyst_reaffirmed,Existing preliminary rejection remains valid for the lithium-resource group; the company should be reclassified to machinery; overseas building materials; or battery-materials review.,Rejected from lithium-resource watch. Keda's lithium exposure is mainly a material equity stake in Lanke Lithium. That is valuable but it is not controlled listed-company resource operation. Salt Lake is the cleaner representative of the salt-lake lithium thesis.,Non-controlled resource exposure should not consume a lithium-resource watch slot when a cleaner operating resource company is already retained.,true,2026-05-15T00:00:00+00:00
