market_type,market_label,security_code,symbol,exchange,board,listed_company_name,security_name,currency,moat_score,screening_reason,evidence_sources,screening_run_at_utc,source_raw_file
A_SHARE,A股,600519,600519.SH,SSE,main_board,贵州茅台酒股份有限公司,贵州茅台,CNY,90,90 based on unusually strong brand and channel moat high margin cash generation and resilient category leadership with demand and policy risks,https://www.moutaichina.com/mtgf/articleFileDir/2026-04/17/1d565b73e05549c4ad4392314e62112c.pdf;https://www.moutaichina.com/mtgf/2025-10/18/article_2025101811085247943.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,300750,300750.SZ,SZSE,chinext,宁德时代,宁德时代,CNY,88,88 based on global battery leadership high R&D intensity patent base operating cash flow and manufacturing scale with competition and cycle risks,https://www.catl.com/en/news/6773.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,000333,000333.SZ,SZSE,main_board,美的集团,美的集团,CNY,83,83 based on global appliance scale brand channel R&D footprint and record 2025 performance with cyclical hardware margin risks,https://www.midea.com.cn/en/Investors?wcmmode=disabled;https://www.midea.com/global/about-midea,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002594,002594.SZ,SZSE,main_board,比亚迪,比亚迪,CNY,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600900,600900.SH,SSE,main_board,中国长江电力股份有限公司,长江电力,CNY,82,82 based on scarce hydropower assets regulated infrastructure cash flow and high replacement barriers with hydrology and tariff risks,https://www.rns-pdf.londonstockexchange.com/rns/5852C_1-2026-4-30.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,300760,300760.SZ,SZSE,chinext,迈瑞医疗,迈瑞医疗,CNY,81,81 based on hospital installed base quality systems product breadth and R&D culture with procurement and regulatory risks,https://www.mindray.com/en/about-us;https://www.mindray.com/content/dam/xpace/en/investor-relations/2025/mindray-2025-esg-report-en.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002415,002415.SZ,SZSE,main_board,海康威视,海康威视,CNY,79,79 based on large installed base AIoT technology platform and mature profitability offset by geopolitical and regulatory risks,https://www.hikvision.com/content/dam/hikvision/en/marketing/image/latest-news/20260427/2025-hikvision-annual-report_en.pdf,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600887,600887.SH,SSE,main_board,内蒙古伊利实业集团股份有限公司,伊利股份,CNY,78,78 based on dairy brand distribution scale and category leadership with moderate margins and commodity input risks,https://www.yili.com/en/investors,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,600690,600690.SH,SSE,main_board,海尔智家股份有限公司,海尔智家,CNY,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,https://www.haier.com/global/press-events/news/20260402_288863.shtml,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,002050,002050.SZ,SZSE,main_board,三花智控,三花智控,CNY,76,76 based on global thermal management niche scale precision component know how and EV exposure with customer and cycle risks,https://www.zjshc.com/en/investor/hkstock.html,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
A_SHARE,A股,300274,300274.SZ,SZSE,chinext,阳光电源,阳光电源,CNY,75,75 based on power electronics capability global renewables scale and storage exposure with industry price cycle risks,https://www.sungrowpower.com/en/About-Us/investor,2026-05-14T09:42:06+00:00,data/raw/a_share_securities.csv
HONG_KONG,港股,00700,00700.HK,HKEX,main_board,TENCENT,TENCENT,HKD,86,86 based on platform network effects high gross margin recurring services and AI enabled product depth with regulation and competition risks,https://www.tencent.com/en-us/investors/financial-reports.html;https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,00388,00388.HK,HKEX,main_board,HKEX,HKEX,HKD,84,84 based on regulated exchange monopoly clearing infrastructure network effects and IPO leadership with capital market cycle risk,https://www.hkexgroup.com/Investor-Relations/Financial-Results-and-Presentations/2025?sc_lang=en;https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0226/2026022600166.pdf;https://www.hkexgroup.com/-/media/HKEX-Group-Site/Ir/Analyst-Presentation/2025-Q4-Results-Presentation-%2816x9%29_v32-%28vF%29.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,00941,00941.HK,HKEX,main_board,CHINA MOBILE,CHINA MOBILE,HKD,82,82 based on unmatched subscriber scale spectrum network assets and recurring service revenue with regulation and capex risks,https://www.chinamobileltd.com/;https://www.chinamobileltd.com/en/download/index.php,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,01211,01211.HK,HKEX,main_board,BYD COMPANY,BYD COMPANY,HKD,82,82 based on vertical integration technology breadth and NEV leadership offset by auto cyclicality margin pressure and capital intensity,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2696;https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,01299,01299.HK,HKEX,main_board,AIA,AIA,HKD,80,80 based on pan Asian distribution scale brand trust free surplus generation and product breadth with market and regulatory risks,https://www.aia.com/en/investor-relations/overview/results-presentations;https://www.aia.com/en/media-centre/annual-reports,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09633,09633.HK,HKEX,main_board,NONGFU SPRING,NONGFU SPRING,HKD,80,80 based on water source access brand distribution and high gross profit beverage economics with concentration and reputation risks,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0417/2026041701389.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09988,09988.HK,HKEX,main_board,BABA-W,BABA-W,HKD,80,80 based on commerce network effects cloud and merchant ecosystem breadth offset by competition regulation and reinvestment pressure,https://home.alibabagroup.com/ir-financial-reports-financial-results;https://www.alibabagroup.com/document-1871721596658384896,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,02020,02020.HK,HKEX,main_board,ANTA SPORTS,ANTA SPORTS,HKD,79,79 based on multi brand sportswear portfolio high margin profile and retail execution with fashion and inventory risks,https://ir.anta.com/en/index.php/index.php;https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0409/2026040900840.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,00669,00669.HK,HKEX,main_board,TECHTRONIC IND,TECHTRONIC IND,HKD,78,78 based on strong tool brands global channels and product innovation with tariff and housing cycle risks,https://www.ttigroup.com/documents/annual-report-2025/;https://www.ttigroup.com/sites/default/files/2026-03/ar2025.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09999,09999.HK,HKEX,main_board,NTES-S,NTES-S,HKD,78,78 based on durable game IP development capability and digital economics with hit driven and regulatory risks,https://ir.netease.com/financial-information/annual-reports;https://www.hkexnews.hk/listedco/listconews/sehk/2026/0415/2026041501230.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,03888,03888.HK,HKEX,main_board,KINGSOFT,KINGSOFT,HKD,77,77 based on WPS office scale subscription potential and software economics with game and cloud volatility risks,https://ir.kingsoft.com/financials/annual-reports/;https://ir.kingsoft.com/static-files/999c2fb6-9739-4c00-a3d7-ec00dc5430b6,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,06690,06690.HK,HKEX,main_board,HAIER SMARTHOME,HAIER SMARTHOME,HKD,77,77 based on global appliance brand portfolio local operating model and record 2025 results offset by cyclical hardware risks,https://www.haier.com/global/press-events/news/20260402_288863.shtml,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09961,09961.HK,HKEX,main_board,TRIP.COM-S,TRIP.COM-S,HKD,76,76 based on supplier network brand and one stop travel platform economics with cyclical travel demand risk,https://investors.trip.com/,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,01810,01810.HK,HKEX,main_board,XIAOMI-W,XIAOMI-W,HKD,75,75 based on global smartphone and IoT ecosystem scale plus EV optionality offset by hardware margin and execution risks,https://ir.mi.com/financial-information/annual-interim-reports/,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09618,09618.HK,HKEX,main_board,JD-SW,JD-SW,HKD,74,74 based on logistics infrastructure supply chain systems and retail trust offset by low margins and heavy competition,https://ir.jd.com/zh-hant/;https://ir.jd.com/,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,03690,03690.HK,HKEX,main_board,MEITUAN-W,MEITUAN-W,HKD,72,72 based on strong local services network effects data scale and logistics density offset by weaker 2025 profitability margin volatility and competition,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400179.pdf,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
HONG_KONG,港股,09888,09888.HK,HKEX,main_board,BIDU-SW,BIDU-SW,HKD,72,72 based on search data AI technology assets and cloud platform offset by weak advertising growth margin pressure and transition risk,https://ir.baidu.com/financial-reports/,2026-05-14T09:42:06+00:00,data/raw/hong_kong_securities.csv
